StudentID,Name,Gender,EnrollmentYear
1,Lucia Munoz,Female,2021
2,Joan Payson,Male,2021
3,Carol Lockett,Male,2021
4,Laurie Nelson,Male,2021
5,Craig Carroll,Male,2021
6,John Reyes,Female,2021
7,Stephen Fredrickson,Male,2021
8,Linda Earnest,Male,2021
9,Karen Lombardo,Male,2021
10,Beth Mozie,Female,2021
11,Kermit Kutz,Female,2021
12,Stanley Ayres,Female,2021
13,Laura Waller,Female,2021
14,Cheryl Hammond,Male,2021
15,Mildred West,Female,2021
16,Raymond Lightle,Male,2021
17,Linda Wright,Male,2021
18,Kathy Longnecker,Female,2021
19,Joshua Hemphill,Male,2021
20,Marc Potts,Male,2021
21,Madeline Walker,Male,2021
22,Dorothy Finzel,Female,2021
23,Evelyn Oreilly,Male,2021
24,Melissa Tokarski,Female,2021
25,Mary Fitzgerald,Male,2021
26,Brian Johnson,Male,2021
27,Jenny Torsiello,Male,2021
28,Marilyn Schwendinger,Female,2021
29,Judith Nesbit,Female,2021
30,Thomas Riso,Male,2021
31,William Garvey,Male,2021
32,Sterling Owens,Female,2021
33,Carolyn Mccan,Female,2021
34,Laura Stevenson,Male,2021
35,Barbara Gordon,Male,2021
36,Orville Stone,Male,2021
37,Candice Carmichael,Male,2021
38,Virginia Redinger,Female,2021
39,Monika Stine,Male,2021
40,Lucila Haley,Male,2021
41,Hope Dunn,Female,2021
42,Bessie Herman,Female,2021
43,Evelyn Holdridge,Male,2021
44,Patricia Norris,Female,2021
45,Helen Alzugaray,Male,2021
46,Tonya Prescott,Male,2021
47,Carrie Brown,Female,2021
48,Larry Ramos,Male,2021
49,Paula Hendriks,Female,2021
50,Arthur Hambleton,Female,2021
51,Raul Green,Female,2021
52,Holli Hewins,Female,2021
53,Katrina Taylor,Female,2021
54,Todd Ayers,Female,2021
55,Tammy Drumheller,Male,2021
56,Alan Murphy,Male,2021
57,Jennifer Bowen,Male,2021
58,Arnulfo Tovar,Male,2021
59,John Laymon,Female,2021
60,Melissa Wagner,Female,2021
61,Paula Slaton,Male,2021
62,Emma Thompson,Female,2021
63,Victoria Liddell,Female,2021
64,Arron Kim,Female,2021
65,Barbara Garcia,Female,2021
66,David Winkelpleck,Male,2021
67,Richard Sotelo,Female,2021
68,Damien Latham,Female,2021
69,Richard Hickman,Male,2021
70,Cheryl Brady,Male,2021
71,William Portales,Male,2021
72,Barbara Lamoureux,Male,2021
73,Debra Caruana,Female,2021
74,Stella Price,Male,2021
75,Gina Brodi,Male,2021
76,Gregory Myron,Male,2021
77,Irene Horney,Male,2021
78,Daniel Volpe,Female,2021
79,Kirby Danley,Female,2021
80,Jonathon Warnock,Female,2021
81,Melissa Quinlan,Male,2021
82,Thelma Trejo,Female,2021
83,Nicholas Bond,Male,2021
84,Kimberly Skinner,Female,2021
85,Gregory Morgan,Female,2021
86,Margery Rushford,Female,2021
87,Melissa Jenkins,Female,2021
88,John Vanner,Male,2021
89,Cynthia Cagle,Male,2021
90,Bruce Beckner,Male,2021
91,Katy Salzman,Male,2021
92,Gary Gilbert,Male,2021
93,John Thompson,Female,2021
94,Moses Ross,Female,2021
95,Hank Kluender,Female,2021
96,Donna Etsitty,Female,2021
97,Charles Davis,Male,2021
98,Palmer Brinda,Female,2021
99,Carolina Gonzalez,Female,2021
100,Johnathan Applegate,Male,2021
101,Margaret Carter,Male,2021
102,Randall Washington,Male,2021
103,Wayne Davenport,Female,2021
104,Betty Bolling,Male,2021
105,Dana Dawson,Male,2021
106,Thomas Potter,Male,2021
107,Ray Kuykendall,Female,2021
108,Marlin Osher,Male,2021
109,John Hagy,Female,2021
110,Robert Hickey,Male,2021
111,Maria Dougherty,Male,2021
112,Laura Carrell,Male,2021
113,Mildred Ulloa,Female,2021
114,Emil Beliles,Male,2021
115,Joe Ono,Female,2021
116,Jack Wright,Female,2021
117,Jose Johnson,Male,2021
118,Jon Weber,Male,2021
119,Anthony Jordon,Female,2021
120,Kristina Gokey,Male,2021
121,Richard Jones,Male,2021
122,Barbara Rodriguez,Female,2021
123,Allen Livingston,Female,2021
